rangeMeters,rangeYards,velocityFPS,energyFtLbs,timeSeconds,dropInches,verticalPositionInches,crossWindDriftInches,leadInches,slantDegrees,verticalPositionMil,verticalPositionMoA,verticalPositionIPHY,crossWindDriftMil,crossWindDriftMoA,crossWindDriftIPHY,leadMil,leadMoA,leadIPHY,slantDropInches,slantMil,slantMoA,slantIPHY
0.9144,1,2306.728410647323,909.54369041153,0.0012676056338027898,-0.0003101170402697745,2.8368247468862267,-0.0055723107539616765,0.06693109859154786,45,78.8006874135063,270.89680869312144,283.6824746886227,-0.1547864098322688,-0.5321164805656288,-0.5572310753961677,1.8591971830985516,6.39144911248977,6.693109859154786,-0.00009083117813351513,-0.0025230882814865313,-0.008673738592140292,-0.009083117813351513
1.8288,2,2304.456821294646,907.7531957565525,0.0025352112676055795,-0.001240468161079098,2.774269727852993,-0.011144621507923353,0.13386219718309572,45,38.53152399795824,132.46162219823788,138.71348639264966,-0.1547864098322688,-0.5321164805656288,-0.5572310753961677,1.8591971830985516,6.39144911248977,6.693109859154786,-0.0003633247125340605,-0.005046176562973063,-0.017347477184280584,-0.018166235626703026
2.7432,3,2302.185231941969,905.9644651897171,0.003802816901408369,-0.00279105336242797,2.7123349429002985,-0.01671693226188507,0.20079329577464358,45,25.114212434262026,86.33630269723518,90.41116476334328,-0.15478640983226916,-0.53211648056563,-0.557231075396169,1.8591971830985514,6.391449112489769,6.693109859154785,-0.000817480603201636,-0.0075692648444595926,-0.026021215776420872,-0.027249353440054535
3.6576,4,2299.9138851662883,904.177689442249,0.005070287170970897,-0.004961607715249628,2.651020127099077,-0.022313067663589807,0.26771724697186855,45,18.40986199374359,63.28844361998715,66.27550317747692,-0.1549518587749292,-0.532685252133993,-0.5578266915897452,1.8591475484157538,6.3912784810192615,6.692931174296714,-0.00145322125420912,-0.010091814265341111,-0.034693101902256364,-0.036330531355228
4.572,5,2297.6486766825797,902.397499006609,0.006334332114791027,-0.007743886324711282,2.5903170355544956,-0.028512074097259553,0.334460336859504,45,14.390650197524973,49.47141124634882,51.80634071108991,-0.15840041165144197,-0.5445405036491805,-0.5702414819451911,1.8581129825527998,6.387721905564705,6.689206737190079,-0.002268131791770159,-0.012600732176500883,-0.04331812634956471,-0.04536263583540318
5.4864,6,2295.3834681988706,900.6190627624228,0.007598377058611406,-0.011114051780530182,2.5302018308562713,-0.03471108053088548,0.40120342674715254,45,11.713897365075331,40.269412840347634,42.17003051427119,-0.16069944690224758,-0.552444004658608,-0.5785180088480913,1.8574232719775579,6.385350855261876,6.686723779119209,-0.003255230400058861,-0.015070511111383618,-0.051808600907563986,-0.05425384000098102
6.4008,7,2293.118259715162,898.8423807096907,0.008862422002431536,-0.01511943582171765,2.470721844743416,-0.04091008696455508,0.46794651663478803,45,9.804451764854823,33.705222394158724,35.296026353477366,-0.16234161493871063,-0.5580893625230807,-0.5844298137793583,1.856930621566619,6.383657247902534,6.684950237639829,-0.00442838022446629,-0.017572937398675752,-0.06041130879588408,-0.06326257463523272
7.3152,8,2290.8530512314533,897.0674528484127,0.010126466946251748,-0.01973997656660437,2.411857015334259,-0.04710909339821047,0.5346896065224278,45,8.374503525466178,28.789422451779824,30.14821269167824,-0.16357324096600856,-0.5623233809212655,-0.5888636674776309,1.8565611337584298,6.382387042383079,6.683620081530347,-0.005781705275894867,-0.02007536554130162,-0.0690140230623717,-0.07227131594868583
8.2296,9,2288.5917983703,895.2973740559087,0.011440692080013394,-0.02519621628941363,2.3538278849030254,-0.044476185681413635,0.6040822706552033,45,7.264900879330325,24.974889538147846,26.153643165589173,-0.13727217802905442,-0.4719069867409703,-0.49417984090459594,1.8644514526395162,6.409511960637168,6.712025229502259,-0.0073798008909262865,-0.02277716324359965,-0.07830211938881944,-0.08199778767695874
9.144,10,2286.332935008394,893.5309110322146,0.012785229895139449,-0.03146645491827674,2.2966127533778455,-0.036508124793755405,0.6750754807392371,45,6.379479870494015,21.9310363242165,22.966127533778455,-0.10141145776043167,-0.3486269114387137,-0.36508124793755403,1.8752096687201028,6.446495983227844,6.75075480739237,-0.009216311265662447,-0.02560086462684013,-0.08800928970077652,-0.09216311265662447
