rangeMeters,rangeYards,velocityFPS,energyFtLbs,timeSeconds,dropInches,verticalPositionInches,crossWindDriftInches,leadInches,slantDegrees,verticalPositionMil,verticalPositionMoA,verticalPositionIPHY,crossWindDriftMil,crossWindDriftMoA,crossWindDriftIPHY,leadMil,leadMoA,leadIPHY,slantDropInches,slantMil,slantMoA,slantIPHY
0.9144,1,1117.996719741366,344.06671011158346,0.002686523392728392,-0.001392959732357636,1.8855997383868752,0.0013971388132761585,0.14185165896413038,45,52.37777051074653,180.06151143536795,188.5599738386875,0.03880941147989329,0.13341692899190769,0.13971388132761584,3.9403238601147326,13.545835626041614,14.185165896413038,-0.0004079884596877524,-0.011333012769104233,-0.03896002805049802,-0.04079884596877524
1.8288,2,1116.0131439162294,342.846890843285,0.005346621914895942,-0.005517168618863192,1.7739307259278985,-0.0018566052916380985,0.28230805305280365,45,24.637926748998588,84.69895312073942,88.69653629639492,-0.0257861846060847,-0.0886463728609905,-0.09283026458190492,3.9209451812889395,13.479216635485745,14.115402652640183,-0.001615941275515407,-0.022443628826602877,-0.07715551252383591,-0.08079706377577035
2.7432,3,1114.0392270710386,341.6351618157646,0.008139851501045523,-0.012754507623371563,1.6653748435869244,0.018321250388541016,0.42979392707700487,45,15.42013744061967,53.01052769188419,55.51249478623081,0.16964120730130572,0.5831835125957965,0.6107083462847006,3.979573398861156,13.680765601122777,14.326464235900161,-0.003735708792190007,-0.034589896223981544,-0.11891130404652793,-0.12452362640633358
3.6576,4,1112.0841574271317,340.4371170101301,0.010764644013944344,-0.022306430443787453,1.559133545061858,0.008853507428293354,0.5683861215090781,45,10.82731628515179,37.221571595782265,38.978338626546446,0.061482690474259395,0.21136192063838685,0.22133768570733384,3.947125843813042,13.569219123535555,14.209653037726952,-0.006533402212919283,-0.04537084870082835,-0.1559734886100274,-0.16333505532298206
4.572,5,1110.1385050120118,339.24693213770195,0.013512572692301175,-0.03514850199720926,1.4561823952697974,0.0210582221333172,0.7134800532407328,45,8.08990219594332,27.811035150245356,29.12364790539595,0.11699012296287332,0.4021824174318846,0.42116444266634395,3.9637780735596264,13.626465272573606,14.269601064814657,-0.01029475788643366,-0.05719309936907589,-0.19661539266846156,-0.20589515772867323
5.4864,6,1108.2105485405918,338.0696279107393,0.0162417216199124,-0.05078025282690549,1.3560209247540111,0.029957625588111658,0.8575823915973186,45,6.27787465163894,21.581743311200366,22.600348745900188,0.13869271105607248,0.4767904195674258,0.49929375980186097,3.970288849987586,13.648847673214268,14.293039859955309,-0.014873191702633239,-0.06885736899367241,-0.23671419790423567,-0.24788652837722067
6.4008,7,1106.2920892975285,336.9001544373003,0.018957426597429824,-0.0691814244654109,1.2586288750470342,0.036490840050596524,1.0009748732562116,45,4.994559027964422,17.170029169987632,17.980412500671918,0.14480492083570048,0.49780264899983445,0.5212977150085217,3.9721225129214743,13.65515134204399,14.299641046517308,-0.020262770093773887,-0.08040781783243604,-0.27642171610106225,-0.2894681441967698
7.3152,8,1104.3899663206523,335.7426398469283,0.021650006517920744,-0.09022913557850706,1.163883364814648,0.038953951976188596,1.1431463241540367,45,4.041261683384194,13.892834302038452,14.5485420601831,0.13525677769509928,0.4649785507510335,0.48692439970235746,3.9692580699792943,13.64530411256935,14.28932905192546,-0.026427501950344285,-0.09176215954980654,-0.3154550676745873,-0.33034377437930357
8.2296,9,1102.4976852933123,334.59309093193207,0.02432865451286247,-0.1136416186379949,1.0715026265286536,0.03896498927742022,1.2845821526645538,45,3.3071068720020174,11.368995969937245,11.905584739207264,0.1202623125846303,0.41343137673754654,0.4329443253046691,3.9647597304461533,13.629839960365302,14.273135029606152,-0.033284859474053095,-0.10273104775942313,-0.3531633276965353,-0.36983177193392325
9.144,10,1100.6201910463853,333.4544731930493,0.027089171383184004,-0.1408940555956829,0.9829618421408592,0.053385276120999775,1.4303407560377752,45,2.730449561502387,9.386594162905123,9.829618421408593,0.14829243366944383,0.5097918349821822,0.5338527612099978,3.973168766771598,13.658748097838696,14.303407560377753,-0.04126691345510101,-0.11463031515305835,-0.394069995753969,-0.41266913455101006
10.0584,11,1098.7553907452757,332.32547479439785,0.029867852670818058,-0.17128101564781312,0.8975555808475071,0.07100257306925191,1.5770584624423984,45,2.2665544970896643,7.791840403227167,8.15959618952279,0.17929942694255532,0.6163860259792432,0.6454779369931992,3.9824708647535307,13.690726355137814,14.336895113112712,-0.050167047994725204,-0.12668446463314445,-0.43550910920395497,-0.45606407267932
10.9728,12,1096.9082994952635,331.20908523255406,0.03247113933980332,-0.20243997888478515,0.8129213227389966,0.0577497155568429,1.714515122508823,45,1.881762321155085,6.469022342976422,6.774344356158306,0.1336798971223215,0.45955763465401905,0.48124762964035744,3.9687850058074603,13.643677837740244,14.287626020906858,-0.059293297032091956,-0.13725300238910174,-0.4718410657466449,-0.49411080860076634
11.8872,13,1095.0612082452508,330.09457398513536,0.035223432917785166,-0.23821252349063265,0.7329006459993621,0.07072267005546726,1.859839526178558,45,1.5660270213661585,5.383604335697386,5.63769727691817,0.15111681635783603,0.5195013474487246,0.5440205388882097,3.9740160815781156,13.661660951578657,14.306457893681216,-0.06977083276684641,-0.14908297599753506,-0.5125095193177638,-0.5366987135911262
12.8016,14,1093.2303522952816,328.9917125325854,0.03806621760250217,-0.2782150891317209,0.657109990294968,0.099622421303908,2.0099419688732376,45,1.3037896632836667,4.482098704764447,4.6936427878212,0.1976635343331508,0.6795171768600083,0.7115887235993429,3.9879800969707095,13.709665700402041,14.356728349094555,-0.08148731297826114,-0.16168117654416894,-0.5558189425649283,-0.5820522355590081
13.716,15,1091.4144667227895,327.8996917252035,0.04080633664847968,-0.31887758669312416,0.5819792665108887,0.11045260947164048,2.154623542643705,45,1.0777393824275718,3.704995081711482,3.8798617767392583,0.20454186939192684,0.7031631509968415,0.7363507298109366,3.990043597488343,13.716759492643092,14.364156950958034,-0.09339708277401468,-0.17295756069261975,-0.5945842957576398,-0.6226472184934312
