rangeMeters,rangeYards,velocityFPS,energyFtLbs,timeSeconds,dropInches,verticalPositionInches,crossWindDriftInches,leadInches,slantDegrees,verticalPositionMil,verticalPositionMoA,verticalPositionIPHY,crossWindDriftMil,crossWindDriftMoA,crossWindDriftIPHY,leadMil,leadMoA,leadIPHY,slantDropInches,slantMil,slantMoA,slantIPHY
0.9144,1,2409.2892521175645,1584.9767975807463,0.0012725329915345615,-0.0003125326614069728,1.945102140082399,0.00496939480014946,0.0671912689926147,45,54.03061500228886,185.74357224881308,194.5102140082399,0.1380387444485961,0.4745422479743585,0.496939480014946,1.8664241386837417,6.416293555715519,6.71912689926147,-0.00009153869718382294,-0.0025427415884395257,-0.00874130168465362,-0.009153869718382293
1.8288,2,2407.5843013365784,1582.7343509563646,0.002489924295882349,-0.001196546538850466,1.890775761380834,0.00023363208867796024,0.1314709907317431,45,26.260774463622695,90.27789261119929,94.5387880690417,0.003244890120527225,0.011155110533464702,0.011681604433898011,1.8259859823853208,6.277277414483251,6.573549536587155,-0.000350460367224008,-0.004867505100333445,-0.016733249940555948,-0.0175230183612004
2.7432,3,2405.8793505555923,1580.4934917770681,0.003707315600230137,-0.0026526284692239797,1.8370214507321994,-0.0045021306227935026,0.1957507124708715,45,17.009457877149995,58.47420889034325,61.23404835773997,-0.041686394655495396,-0.14330726861349874,-0.15007102075978343,1.812506596952514,6.230938700739162,6.52502374902905,-0.000776936890667211,-0.007193860098770472,-0.024730669324182625,-0.0258978963555737
3.6576,4,2404.1743997746057,1578.2542200428559,0.004924706904578151,-0.004680778452527945,1.7838392081364953,-0.00923789333422512,0.2600304342100119,45,12.387772278725661,42.586024148676636,44.59598020341238,-0.06415203704323,-0.2205384581860292,-0.230947333355628,1.8057669042361935,6.207769343867402,6.500760855250297,-0.001370968267513558,-0.009520612968844152,-0.0327294564897434,-0.03427420668783895
4.572,5,2402.4694489936196,1576.0165357537292,0.0061420982089259385,-0.007280996488761606,1.7312290335937206,-0.013973656045696734,0.32431015594914026,45,9.61793907552067,33.06403899868578,34.62458067187441,-0.07763142247609296,-0.26687717193031135,-0.27947312091393467,1.8017230886063345,6.193867729744118,6.486203118982805,-0.002132554497762828,-0.011847524987571266,-0.040728790768073606,-0.04265108995525656
5.4864,6,2400.7644982126335,1573.7804389096873,0.007359489513273727,-0.010453282577925289,1.679190927103876,-0.018709418757168042,0.3885898776882687,45,7.774032069925352,26.725153644532814,27.986515451731268,-0.08661767943133353,-0.29776964775982795,-0.3118236459528007,1.7990272115197625,6.184599986995263,6.4764979614711455,-0.003061695581415116,-0.014174516580625537,-0.048728398602790025,-0.05102825969025193
6.4008,7,2399.0595474316474,1571.5459295107305,0.008576880817621401,-0.014197636720018617,1.6277248886669613,-0.02344518146865935,0.45286959942739113,45,6.459225748678418,22.205182459430063,23.253212695242304,-0.09303643439944186,-0.31983570192404115,-0.3349311638379907,1.79710158502933,6.1779801707459985,6.4695657061055885,-0.004158391518470312,-0.01650155364472346,-0.056728162755439925,-0.059405593121004456
7.3152,8,2397.354596650661,1569.3130075568579,0.009794272121969528,-0.018466095031843974,1.5767829543997784,-0.028180944180071277,0.5171493211665374,45,5.474940813888119,18.82146010330113,19.70978692999723,-0.0978505006252475,-0.3363852425462536,-0.352261802250891,1.7956573651615881,6.173015308559335,6.464366514581718,-0.0054085940127918735,-0.018779840322194003,-0.06456033542388598,-0.06760742515989841
8.2296,9,2395.6496458696747,1567.081673048071,0.011011663426317203,-0.023341920797289695,1.526448387586216,-0.032916706891562585,0.5814290429056599,45,4.711260455513012,16.196120417368682,16.960537639846844,-0.10159477435667465,-0.3492571074754833,-0.36574118768402875,1.79453408304216,6.169153749080566,6.460322698951776,-0.0068366903156068335,-0.02110089603582356,-0.0725395372082782,-0.07596322572896481
9.144,10,2393.9446950886886,1564.851925984369,0.01222905473066499,-0.028788332574077955,1.4766844067839962,-0.03765246960303435,0.6457087646447883,45,4.101901129955545,14.10129736367261,14.76684406783996,-0.10459019334176209,-0.3595545994186804,-0.37652469603034355,1.7936354573466342,6.166064501497607,6.457087646447883,-0.00843190739189384,-0.023421964977482886,-0.08051878446728702,-0.08431907391893839
10.0584,11,2392.2397443077025,1562.6237663657516,0.013446446035012665,-0.03480533036220776,1.427491011993118,-0.042388232314525355,0.7099884863839108,45,3.6047752828109036,12.392304587966628,12.977191018119253,-0.10704099069324585,-0.3679798200996451,-0.385347566495685,1.7929002181411888,6.163536935293317,6.45444078530828,-0.010194245241652597,-0.025743043539526764,-0.08849806479874178,-0.09267495674229634
10.9728,12,2390.5347935267164,1560.3971941922193,0.014663837339360452,-0.0413929141616802,1.3788682032135822,-0.04712399502599712,0.7742682081230391,45,3.191824544475885,10.972684520753214,11.490568360113185,-0.10908332181943779,-0.37500083733362916,-0.392699958549976,1.7922875188033311,6.161430630123124,6.452235067691993,-0.01212370386488343,-0.028064129316859792,-0.09647736993453354,-0.10103086554069525
11.8872,13,2388.833224703112,1558.1766213943683,0.01593832211352899,-0.048900796520461885,1.3311656929933555,-0.041811078675137406,0.8415625335808669,45,2.844371138874691,9.778227697641956,10.239736099948887,-0.08933991169901155,-0.3071279929474236,-0.3216236821164416,1.7982105418394592,6.181792483438984,6.473557950622053,-0.014322711695419729,-0.030604084819272924,-0.10520909376094674,-0.11017470534938253
12.8016,14,2387.1332015255393,1555.9596446875782,0.01723890014821094,-0.05720708807659754,1.2842615919704832,-0.031905644100874424,0.9102346145057156,45,2.5481380793065145,8.759853453705297,9.173297085503451,-0.06330484940649687,-0.21762604162358262,-0.22789745786338875,1.8060210605272133,6.208643068836136,6.501675817897969,-0.016755568165699296,-0.03324517493194305,-0.1142884927671877,-0.11968262975499498
13.716,15,2385.4331783479665,1553.7442462631502,0.01853947818289289,-0.06616460837408758,1.2380087196889649,-0.02200020952661266,0.9789066954305641,45,2.29260874016475,7.881408293224352,8.253391464593099,-0.040741128752986404,-0.14005768380959485,-0.14666806351075104,1.8127901767232666,6.231913576180333,6.5260446362037605,-0.019379165118217984,-0.03588734281151478,-0.12337159686311434,-0.12919443412145323
14.6304,16,2383.7331551703933,1551.5304261210829,0.019840056217575296,-0.07577335741293553,1.1924070761488048,-0.012094774952269679,1.0475787763554367,45,2.0701511738694527,7.1166555130512,7.45254422593003,-0.020997873181023745,-0.07218537072187085,-0.07559234345168549,1.8187131533948555,6.25227527010665,6.54736735222148,-0.02219350255297682,-0.03853038637669587,-0.13245771134441678,-0.13870939095610513
15.5448,17,2382.0331319928205,1549.3181842613785,0.021140634252257248,-0.08603333519313464,1.1474566613499957,-0.002189340378006695,1.1162508572802854,45,1.874929185212411,6.445531751955013,6.749745066764681,-0.003577353558834469,-0.012298035644916688,-0.012878472811804088,1.823939309281512,6.270241470629735,6.566181513413444,-0.025198580469973832,-0.04117415109472848,-0.1415463049666058,-0.14822694394102254
16.4592,18,2380.333108815247,1547.1075206840353,0.022441212286939537,-0.09694454171469107,1.1031574752925437,0.007716094196314911,1.1849229382051518,45,1.7024035112539255,5.852432173422996,6.128652640514131,0.011907552772090912,0.04093515109046469,0.042867189979527286,1.8285847811807896,6.28621142665035,6.582905212250844,-0.028394398869210823,-0.043818516773473495,-0.15063696453954326,-0.15774666038450458
17.3736,19,2378.640941467343,1544.908639971744,0.0236664651341602,-0.10781955259968594,1.0588220935985304,0.004363994476641509,1.2496177588418196,45,1.5479855169569157,5.321582212174019,5.572747861044896,0.0063801088839788135,0.02193319871329266,0.02296839198232373,1.826926548014356,6.280510840937199,6.576935572851682,-0.0315796158119483,-0.04616902896483669,-0.15871743023514365,-0.1662085042734121
18.288,20,2376.950688537917,1542.7138080204586,0.02487336168588449,-0.1190966933996891,1.0148888418195254,-0.0022188866755764054,1.3133433450487242,45,1.409567835860452,4.845737275962113,5.074444209097627,-0.003081787049411674,-0.010594403477428576,-0.011094433377882027,1.8240879792343392,6.270752560279983,6.566716725243621,-0.03488261387987373,-0.04844807483315795,-0.1665522128094852,-0.17441306939936865
19.2024,21,2375.260435608491,1540.520536262489,0.02608025823760833,-0.1309346249250149,0.9715163807658431,-0.008801767827873092,1.377068931255605,45,1.2850745777325965,4.4177609798458874,4.626268479837348,-0.011642550036869167,-0.04002413879320123,-0.04191318013272901,1.8215197503381018,6.261923639685252,6.557471101217167,-0.03834986374841964,-0.050727333000555076,-0.1743877252142892,-0.18261839880199826
20.1168,22,2373.570182679065,1538.3288246978339,0.02728715478933262,-0.14296105276742366,0.9283324160292437,-0.015384648980090395,1.4407945174625096,45,1.1721368889258126,4.029509804848005,4.2196928001329255,-0.019425061843548478,-0.06677844362537724,-0.06993022263677452,1.8191849967960978,6.253897348235597,6.549065988465952,-0.04187232291001046,-0.05286909458334654,-0.1817505591793682,-0.19032874050004756
21.0312,23,2371.8799297496394,1536.1386733264942,0.028494051341056575,-0.15588690467073946,0.8860478753535512,-0.02196753013236754,1.5045201036693965,45,1.0701061296540473,3.6787538916385487,3.8523820667545707,-0.026530833493197514,-0.0912062871680473,-0.09551100057551105,1.8170532653012033,6.246568995172797,6.541391755084333,-0.04565821727987861,-0.05514277449260701,-0.18956689494527623,-0.19851398817338525
21.9456,24,2370.189676820213,1533.9500821484692,0.029700947892780865,-0.16937209070009934,0.8443226688039029,-0.028550411284584847,1.568245689876301,45,0.9772253111156285,3.359453157638225,3.5180111200162627,-0.03304445750530654,-0.1135984770819234,-0.11896004701910352,1.8150991780975705,6.239851338198634,6.534357041151254,-0.04960793682231601,-0.05741659354434724,-0.1973837090477947,-0.20669973675965006
22.86,25,2368.499423890787,1531.7630511637594,0.030984377374673657,-0.18432607512886826,0.8040662606536637,-0.02166319059542513,1.6360123066356187,45,0.8934069562818485,3.0713068789740765,3.216265042614655,-0.02407021177269459,-0.08274729279421181,-0.08665276238170053,1.817791451817354,6.249106693484947,6.544049226542475,-0.05398785745574438,-0.05998650828416042,-0.20621842514583574,-0.21595142982297752
23.7744,26,2366.8091709613614,1529.5775803723654,0.032277480822949275,-0.20003246750896475,0.7645622604547522,-0.013073313127023095,1.7042897204287093,45,0.8168400218533678,2.808089147392006,2.9406240786721236,-0.013967214879298176,-0.04801574784846918,-0.05028197356547344,1.8208223508853731,6.25952615696867,6.554960463187343,-0.05858815327589791,-0.06259418085031829,-0.2151829430894659,-0.22533905106114582
